Olus_Zamani,Enlem,Boylam,Derinlik_km,Buyukluk,Yer
2025.04.23 14:45:19,40.8663,28.3670, 24.8 ,2.2 ,MARMARA DENIZI
2025.04.23 14:46:20,40.8863,28.4275, 22.7 ,2.4 ,MARMARA DENIZI
2025.04.23 14:47:16,40.8392,28.3077, 25.4 ,2.9 ,MARMARA DENIZI
2025.04.23 14:50:35,40.8215,28.3265,  9.5 ,4.3 ,MARMARA DENIZI
2025.04.23 14:53:43,40.8145,28.1988, 21.8 ,2.3 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 14:55:21,40.8728,28.4660,  5.3 ,1.9 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 14:57:36,40.8297,28.0265, 15.5 ,2.3 ,MARMARA DENIZI                                    REVIZE01   (2025.04.23 14:57:35)
2025.04.23 14:58:26,40.9553,28.4208, 22.1 ,2.2 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 14:59:23,40.8748,28.1943,  1.2 ,2.8 ,MARMARA DENIZI
2025.04.23 15:01:02,40.8773,28.4763, 16.9 ,2.2 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 15:03:46,40.8582,28.3970, 18.6 ,3.6 ,MARMARA DENIZI
2025.04.23 15:12:06,40.8470,28.3982, 21.1 ,3.7 ,MARMARA DENIZI
2025.04.23 15:12:57,40.8247,28.3187, 10.5 ,5.2 ,MARMARA DENIZI
2025.04.23 15:17:20,40.8402,28.3540, 25.9 ,3.5 ,MARMARA DENIZI
2025.04.23 15:19:07,40.8625,28.4097,  5.0 ,2.1 ,MARMARA DENIZI
2025.04.23 15:27:01,40.8412,28.3160, 15.1 ,2.1 ,MARMARA DENIZI
2025.04.23 15:30:45,40.8462,28.4538,  2.1 ,2.8 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 15:32:58,40.8558,28.3640, 12.4 ,3.1 ,MARMARA DENIZI
2025.04.23 15:34:23,40.8445,28.2513, 21.3 ,3.3 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 15:35:33,40.8057,28.3067, 20.5 ,3.2 ,MARMARA DENIZI
2025.04.23 15:36:03,40.8528,28.3445, 24.1 ,3.1 ,MARMARA DENIZI
2025.04.23 15:36:40,40.8740,28.4067, 22.6 ,2.5 ,MARMARA DENIZI
2025.04.23 15:37:27,40.8430,28.4257, 20.2 ,2.7 ,MARMARA DENIZI
2025.04.23 15:40:06,40.8455,28.4202, 21.8 ,3.0 ,MARMARA DENIZI
2025.04.23 15:42:28,40.9000,28.3472, 23.5 ,2.3 ,MARMARA DENIZI
2025.04.23 15:44:01,40.8430,28.4343, 23.7 ,3.2 ,MARMARA DENIZI
2025.04.23 15:45:04,40.8413,28.2970, 19.7 ,2.9 ,MARMARA DENIZI
2025.04.23 15:47:00,40.8472,28.4180, 19.4 ,1.6 ,MARMARA DENIZI
2025.04.23 15:47:51,40.8882,28.3660, 25.8 ,1.8 ,MARMARA DENIZI
2025.04.23 15:49:08,40.8568,28.3812, 19.5 ,2.4 ,MARMARA DENIZI
2025.04.23 15:57:33,35.7562,26.4513, 10.5 ,3.1 ,EGE DENIZI
2025.04.23 16:00:08,40.8525,28.4617, 17.7 ,2.3 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 16:02:24,40.8535,28.3995, 20.9 ,2.1 ,MARMARA DENIZI
2025.04.23 16:03:55,40.8620,28.4083, 20.5 ,2.2 ,MARMARA DENIZI
2025.04.23 16:05:30,40.8855,28.4032, 14.6 ,2.0 ,MARMARA DENIZI
2025.04.23 16:07:29,40.8440,28.4035, 21.2 ,3.1 ,MARMARA DENIZI
2025.04.23 16:08:38,40.8458,28.3922,  4.5 ,2.8 ,MARMARA DENIZI
2025.04.23 16:09:50,40.8543,28.2812, 14.4 ,2.7 ,MARMARA DENIZI
2025.04.23 16:12:25,40.8518,28.3990, 19.0 ,1.5 ,MARMARA DENIZI
2025.04.23 16:13:30,40.8410,28.3590, 21.9 ,2.0 ,MARMARA DENIZI
2025.04.23 16:14:24,40.8358,28.3790, 19.7 ,1.9 ,MARMARA DENIZI
2025.04.23 16:16:10,40.8607,28.3520, 14.1 ,2.2 ,MARMARA DENIZI
2025.04.23 16:17:09,37.9893,34.9550,  5.1 ,2.2 ,HIMMETLI-(NIGDE)
2025.04.23 16:25:17,40.7848,28.2417,  5.0 ,3.0 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 16:29:13,40.8570,28.3705, 18.9 ,3.2 ,MARMARA DENIZI
2025.04.23 16:32:08,40.8497,28.3565, 17.7 ,2.5 ,MARMARA DENIZI
2025.04.23 16:43:15,40.8987,28.4762, 19.3 ,1.8 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 16:45:39,40.8265,28.4422, 20.4 ,2.8 ,MARMARA DENIZI
2025.04.23 16:51:19,40.8540,28.3883, 21.4 ,1.9 ,MARMARA DENIZI
2025.04.23 16:53:11,40.8598,28.3972, 17.1 ,2.0 ,MARMARA DENIZI
2025.04.23 16:54:46,40.8570,28.1498, 13.5 ,2.5 ,MARMARA DENIZI
2025.04.23 16:55:25,40.8453,28.3053, 10.6 ,2.6 ,MARMARA DENIZI
2025.04.23 16:57:26,40.8522,28.2383, 12.8 ,1.8 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 16:59:57,40.8210,28.0748,  7.1 ,3.2 ,MARMARA DENIZI
2025.04.23 17:03:07,40.8407,28.3088, 11.3 ,2.6 ,MARMARA DENIZI
2025.04.23 17:06:43,40.8490,28.3617, 12.6 ,3.3 ,MARMARA DENIZI
2025.04.23 17:09:52,40.8497,28.2823, 11.6 ,1.9 ,MARMARA DENIZI
2025.04.23 17:11:53,40.8603,28.2735,  9.1 ,2.3 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 17:13:00,40.8493,28.4177,  8.1 ,2.5 ,MARMARA DENIZI
2025.04.23 17:15:01,40.8592,28.4192, 21.6 ,2.1 ,MARMARA DENIZI
2025.04.23 17:15:38,40.8847,28.3120, 15.0 ,1.9 ,MARMARA DENIZI
2025.04.23 17:24:39,40.8423,28.2565, 13.9 ,2.4 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 17:27:38,40.8638,28.3767, 12.9 ,2.3 ,MARMARA DENIZI
2025.04.23 17:30:37,40.8513,28.2653, 18.3 ,2.7 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 17:36:59,40.8558,28.3997,  5.4 ,2.4 ,MARMARA DENIZI
2025.04.23 17:43:31,40.8428,28.3485, 21.6 ,3.8 ,MARMARA DENIZI
2025.04.23 17:45:59,40.8420,28.4287,  5.1 ,2.1 ,MARMARA DENIZI
2025.04.23 17:47:55,40.8525,28.4082, 20.6 ,3.2 ,MARMARA DENIZI
2025.04.23 17:58:50,40.8360,28.1372, 10.9 ,2.4 ,MARMARA DENIZI
2025.04.23 18:00:46,40.8683,28.4492, 21.3 ,1.8 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 18:03:55,40.8450,28.3640, 19.6 ,1.9 ,MARMARA DENIZI
2025.04.23 18:05:49,40.8710,28.4057, 12.0 ,2.2 ,MARMARA DENIZI
2025.04.23 18:15:33,40.8655,28.3970,  4.6 ,1.9 ,MARMARA DENIZI
2025.04.23 18:16:39,40.8438,28.5378, 27.6 ,1.8 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 18:17:35,40.8618,28.3967, 13.7 ,2.4 ,MARMARA DENIZI
2025.04.23 18:21:29,40.8718,28.4072,  4.8 ,1.8 ,MARMARA DENIZI
2025.04.23 18:22:21,40.8582,28.3352, 21.9 ,2.3 ,MARMARA DENIZI
2025.04.23 18:31:33,40.8887,28.4268, 19.7 ,1.9 ,MARMARA DENIZI
2025.04.23 18:37:15,40.8393,28.3237, 12.3 ,2.9 ,MARMARA DENIZI
2025.04.23 18:38:39,38.9515,26.0492,  8.7 ,2.8 ,MIDILLI ADASI GUNEYI (EGE DENIZI)
2025.04.23 18:40:38,40.8305,28.3987, 19.4 ,2.8 ,MARMARA DENIZI
2025.04.23 18:43:29,39.2403,28.9942, 13.4 ,1.8 ,YEMISLI-SIMAV (KUTAHYA)
2025.04.23 18:49:00,40.8772,28.4097,  5.3 ,1.7 ,MARMARA DENIZI
2025.04.23 18:49:57,40.8847,28.4678, 14.0 ,1.9 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 18:51:26,40.7658,28.1028, 23.4 ,1.7 ,MARMARA DENIZI
2025.04.23 18:54:28,40.8793,28.2902, 14.6 ,2.0 ,MARMARA DENIZI
2025.04.23 18:59:50,40.8247,28.2900, 14.0 ,2.1 ,MARMARA DENIZI
2025.04.23 19:02:27,40.8542,28.4128, 21.4 ,1.8 ,MARMARA DENIZI
2025.04.23 19:03:30,40.8555,28.3847, 12.7 ,3.1 ,MARMARA DENIZI
2025.04.23 19:05:47,40.8427,28.3938, 11.0 ,3.7 ,MARMARA DENIZI
2025.04.23 19:07:21,40.8440,28.3692, 12.7 ,3.7 ,MARMARA DENIZI
2025.04.23 19:09:23,40.6595,28.2600, 10.9 ,2.1 ,MARMARA DENIZI
2025.04.23 19:12:24,40.8472,28.4033, 19.7 ,3.4 ,MARMARA DENIZI
2025.04.23 19:14:09,40.8527,28.4127, 14.6 ,2.1 ,MARMARA DENIZI
2025.04.23 19:17:51,40.7535,28.4503, 19.8 ,1.8 ,MARMARA DENIZI
2025.04.23 19:23:05,40.8335,28.1853, 12.9 ,2.1 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 19:27:22,40.8488,28.4057, 12.2 ,3.3 ,MARMARA DENIZI
2025.04.23 19:30:12,40.8792,28.4187,  9.5 ,2.4 ,MARMARA DENIZI
2025.04.23 19:32:32,40.8468,28.3595, 11.7 ,2.6 ,MARMARA DENIZI
2025.04.23 19:40:00,40.8327,28.3047, 12.4 ,2.7 ,MARMARA DENIZI
2025.04.23 19:41:37,40.8797,28.3957, 11.4 ,2.2 ,MARMARA DENIZI
2025.04.23 19:42:42,40.8605,28.4365, 25.7 ,1.8 ,MARMARA DENIZI
2025.04.23 19:43:05,40.8557,28.4523, 21.0 ,2.6 ,GURPINAR ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 19:43:22,40.8578,28.3897, 21.7 ,2.6 ,MARMARA DENIZI
2025.04.23 19:46:48,40.8433,28.3825, 14.8 ,2.6 ,MARMARA DENIZI
2025.04.23 19:51:12,40.8490,28.4255, 13.0 ,2.2 ,MARMARA DENIZI
2025.04.23 19:58:37,40.8842,28.3423,  5.4 ,1.9 ,MARMARA DENIZI
2025.04.23 20:02:38,40.8657,28.3875, 18.9 ,1.7 ,MARMARA DENIZI
2025.04.23 20:03:17,40.8502,28.3992, 15.3 ,1.8 ,MARMARA DENIZI
2025.04.23 20:05:00,40.8628,28.3993, 14.8 ,2.5 ,MARMARA DENIZI
2025.04.23 20:06:46,40.8590,28.2797, 15.1 ,2.8 ,MARMARA DENIZI
2025.04.23 20:07:21,40.8197,28.1278,  7.7 ,2.3 ,MARMARA DENIZI
2025.04.23 20:12:23,40.8650,28.3745, 12.9 ,1.8 ,MARMARA DENIZI
2025.04.23 20:17:51,40.8400,28.2840, 14.3 ,3.6 ,MARMARA DENIZI
2025.04.23 20:25:54,40.8532,28.3662, 12.6 ,3.1 ,MARMARA DENIZI
2025.04.23 20:29:23,40.8467,28.2733, 12.4 ,2.2 ,SILIVRI ACIKLARI-ISTANBUL (MARMARA DENIZI)
2025.04.23 20:31:42,40.8372,28.3272, 14.9 ,1.8 ,MARMARA DENIZI
